iter	TotalF1	MultiClass
0	0.6899611733	1.731874318
1	0.7006715016	1.541640271
2	0.7047130701	1.408136065
3	0.7127547639	1.30461631
4	0.715206435	1.222724162
5	0.7147968917	1.157328857
6	0.7122304432	1.102454271
7	0.7229772347	1.054946824
8	0.7208168546	1.01412838
9	0.7282474666	0.9797341731
10	0.7293652481	0.9500989837
11	0.7334045764	0.9239486098
12	0.733733071	0.9004106839
13	0.7360559999	0.8795876641
14	0.7370370349	0.8605966946
15	0.7383397238	0.8429378094
16	0.7389995265	0.8283482705
17	0.7395132434	0.8151379479
18	0.7409074236	0.8026659386
19	0.7412250867	0.7920163435
20	0.7422923943	0.7824582564
21	0.7417828303	0.7739030511
22	0.7423924674	0.7655133648
23	0.7437937102	0.7580208901
24	0.7453283019	0.7508136327
25	0.7464437966	0.7445741866
26	0.7476992927	0.7387579449
27	0.748146632	0.7331255113
28	0.7488712355	0.728255252
29	0.7488323625	0.7237805997
30	0.7493369843	0.7194287265
31	0.7512346048	0.7153151352
32	0.7513121477	0.7115732899
33	0.7519873441	0.7083527805
34	0.7531666083	0.7051817629
35	0.7539301276	0.702081476
36	0.7549417948	0.6989129494
37	0.7558465735	0.6959889322
38	0.756442297	0.6932045409
39	0.7565702784	0.6909503351
40	0.7570138006	0.6886072406
41	0.7575605239	0.6864295341
42	0.7581647886	0.6842516965
43	0.7586375612	0.6823078799
44	0.7594648572	0.6804089009
45	0.7599896894	0.6788602324
46	0.7605648257	0.6772631209
47	0.7607017949	0.6756368387
48	0.761012922	0.6742850887
49	0.7617283318	0.6726692293
50	0.7625902097	0.6711546479
51	0.763012559	0.6696250551
52	0.7633259394	0.6686987383
53	0.7637258816	0.6674537727
54	0.7646284574	0.6662120191
55	0.7648559865	0.665226771
56	0.7651485194	0.6641740041
57	0.7652667975	0.6635312657
58	0.7659169488	0.6620975756
59	0.7666311223	0.6608115744
60	0.7671151211	0.6600014159
61	0.7672150284	0.6591336371
62	0.7673077674	0.6577751353
63	0.7678629486	0.6562388561
64	0.768663963	0.6548103446
65	0.7686759655	0.6538566271
66	0.768994343	0.6532172318
67	0.7696466151	0.6517324111
68	0.7702555966	0.6506829218
69	0.7707404854	0.6498715834
70	0.7708547274	0.6492667997
