iter	Passed	Remaining
0	17	8841
1	50	12639
2	63	10512
3	75	9376
4	92	9197
5	106	8737
6	118	8328
7	132	8156
8	147	8034
9	157	7735
10	170	7574
11	182	7423
12	192	7201
13	202	7040
14	213	6905
15	224	6796
16	234	6672
17	243	6527
18	252	6395
19	261	6264
20	271	6198
21	280	6087
22	288	5976
23	301	5974
24	316	6012
25	327	5964
26	337	5918
27	347	5850
28	357	5807
29	366	5748
30	377	5711
31	392	5746
32	402	5695
33	412	5648
34	421	5602
35	433	5582
36	444	5559
37	454	5525
38	465	5497
39	475	5469
40	484	5426
41	494	5388
42	504	5357
43	514	5329
44	524	5298
45	533	5264
46	543	5237
47	553	5215
48	563	5182
49	573	5160
50	583	5139
51	595	5128
52	604	5096
53	613	5068
54	623	5040
55	635	5035
56	644	5007
57	653	4977
58	663	4958
59	673	4939
60	682	4911
61	691	4884
62	700	4861
63	709	4834
64	720	4821
65	729	4799
66	739	4776
67	749	4759
68	758	4734
69	769	4725
70	779	4707
71	788	4690
72	798	4669
73	809	4658
74	821	4655
75	830	4632
76	839	4610
77	848	4588
78	857	4569
79	868	4561
80	882	4566
81	893	4554
82	903	4537
83	913	4525
84	924	4511
85	937	4513
86	947	4499
87	959	4490
88	968	4474
89	978	4457
90	987	4439
91	995	4416
92	1003	4392
93	1011	4370
94	1021	4353
95	1030	4337
96	1040	4322
97	1049	4303
98	1058	4285
99	1067	4269
100	1078	4259
101	1087	4242
102	1096	4227
103	1105	4207
104	1114	4193
105	1123	4175
106	1132	4159
107	1145	4158
108	1154	4139
109	1161	4119
110	1180	4138
111	1193	4133
112	1204	4126
113	1215	4114
114	1227	4108
115	1239	4101
116	1257	4115
117	1267	4102
118	1276	4085
119	1284	4068
120	1293	4052
121	1301	4032
122	1309	4013
123	1317	3995
124	1325	3976
125	1333	3959
126	1341	3941
127	1350	3924
128	1358	3905
129	1367	3890
130	1376	3878
131	1386	3864
132	1396	3852
133	1405	3838
134	1413	3821
135	1422	3806
136	1429	3788
137	1437	3771
138	1446	3757
139	1455	3742
140	1463	3726
141	1472	3711
142	1480	3696
143	1489	3681
144	1496	3664
145	1504	3649
146	1512	3632
147	1520	3616
148	1528	3601
149	1536	3585
150	1544	3570
151	1552	3553
152	1560	3538
153	1567	3522
154	1575	3506
155	1582	3490
156	1590	3475
157	1598	3460
158	1606	3445
159	1614	3431
160	1622	3415
161	1630	3402
162	1639	3389
163	1646	3374
164	1655	3360
165	1662	3345
166	1671	3333
167	1679	3319
168	1687	3304
169	1694	3290
170	1702	3276
171	1710	3261
172	1718	3247
173	1726	3235
174	1735	3223
175	1744	3211
176	1751	3196
177	1759	3182
178	1767	3169
179	1775	3156
180	1784	3144
181	1792	3131
182	1799	3117
183	1807	3104
184	1816	3092
185	1827	3085
186	1836	3073
187	1844	3060
188	1853	3049
189	1860	3035
190	1868	3022
191	1875	3009
192	1885	2999
193	1893	2986
194	1900	2972
195	1907	2958
196	1915	2946
197	1922	2932
198	1936	2928
199	1943	2915
200	1951	2902
201	1958	2889
202	1967	2878
203	1977	2869
204	1990	2864
205	2000	2854
206	2010	2845
207	2021	2837
208	2033	2831
209	2044	2824
210	2054	2814
211	2066	2806
212	2075	2796
213	2084	2785
214	2096	2778
215	2106	2769
216	2114	2757
217	2125	2749
218	2136	2740
219	2146	2731
220	2155	2721
221	2164	2710
222	2178	2705
223	2196	2706
224	2207	2697
225	2216	2686
226	2224	2675
227	2234	2665
228	2245	2656
229	2256	2649
230	2266	2638
231	2276	2629
232	2285	2618
233	2294	2607
234	2302	2596
235	2311	2585
236	2320	2575
237	2333	2569
238	2347	2563
239	2355	2552
240	2366	2542
241	2377	2534
242	2385	2522
243	2394	2512
244	2403	2501
245	2413	2492
246	2423	2482
247	2431	2470
248	2440	2460
249	2449	2449
250	2459	2439
251	2469	2429
252	2478	2420
253	2488	2410
254	2497	2399
255	2506	2389
256	2516	2379
257	2524	2368
258	2533	2357
259	2543	2348
260	2551	2336
261	2561	2326
262	2569	2315
263	2578	2304
264	2588	2295
265	2598	2285
266	2607	2275
267	2620	2268
268	2629	2258
269	2638	2247
270	2647	2237
271	2657	2227
272	2675	2224
273	2683	2213
274	2691	2202
275	2700	2191
276	2709	2181
277	2719	2171
278	2728	2161
279	2736	2150
280	2745	2140
281	2753	2128
282	2762	2117
283	2771	2107
284	2781	2098
285	2790	2088
286	2800	2078
287	2809	2068
288	2820	2059
289	2832	2051
290	2841	2040
291	2852	2031
292	2863	2023
293	2873	2013
