iter	Passed	Remaining
0	16	16929
1	33	16710
2	49	16547
3	65	16262
4	80	16082
5	97	16094
6	114	16207
7	130	16161
8	146	16185
9	163	16174
10	180	16195
11	196	16189
12	213	16247
13	232	16355
14	249	16371
15	266	16378
16	283	16408
17	300	16405
18	319	16479
19	335	16426
20	351	16387
21	367	16352
22	384	16329
23	401	16309
24	418	16305
25	434	16286
26	451	16263
27	467	16227
28	483	16178
29	499	16142
30	515	16111
31	531	16085
32	549	16089
33	565	16064
34	581	16034
35	598	16017
36	614	16004
37	633	16048
38	651	16061
39	667	16030
40	683	15988
41	700	15982
42	716	15945
43	733	15937
44	750	15934
45	766	15903
46	782	15875
47	799	15857
48	816	15850
49	833	15829
50	849	15801
51	866	15788
52	881	15756
53	898	15744
54	915	15723
55	931	15700
56	948	15696
57	965	15677
58	981	15648
59	997	15630
60	1013	15600
61	1029	15579
62	1046	15569
63	1063	15554
64	1081	15550
65	1100	15569
66	1119	15596
67	1138	15610
68	1158	15633
69	1176	15632
70	1195	15640
71	1214	15652
72	1234	15676
73	1271	15913
74	1301	16053
75	1322	16074
76	1341	16078
77	1365	16143
78	1384	16144
79	1405	16158
80	1423	16154
81	1441	16142
82	1459	16130
83	1477	16115
84	1496	16105
85	1513	16087
86	1534	16098
87	1551	16081
88	1569	16067
89	1587	16051
90	1604	16027
91	1621	16006
92	1639	15985
93	1658	15989
94	1677	15978
95	1693	15949
96	1712	15941
97	1729	15918
98	1746	15894
99	1763	15874
100	1780	15849
101	1797	15826
102	1817	15824
103	1834	15806
104	1850	15774
105	1867	15751
106	1884	15728
107	1901	15706
108	1919	15688
109	1936	15667
110	1954	15655
111	1971	15630
112	1990	15628
113	2008	15611
114	2026	15596
115	2044	15582
116	2062	15563
117	2079	15546
118	2097	15529
119	2116	15521
120	2135	15512
121	2156	15518
122	2175	15510
123	2192	15490
124	2209	15465
125	2226	15442
126	2245	15434
127	2262	15415
128	2279	15393
129	2296	15372
130	2313	15349
131	2331	15330
132	2348	15310
133	2365	15287
134	2383	15269
135	2402	15262
136	2419	15243
137	2437	15227
138	2455	15208
139	2471	15184
140	2489	15164
141	2505	15140
142	2522	15117
143	2539	15098
144	2557	15077
145	2574	15058
